Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
384,FamilyMart Jalan Beserah,"B-272, Ground Floor, Jalan Beserah, 25300 Kuantan, Pahang","B-272, Ground Floor, Jalan Beserah, Taman Berserah, 25300 Kuantan, Pahang, Malaysia",3.8264027,103.3370106,"3.8264027, 103.3370106"
385,FamilyMart Rengit,"No. 85 & 87, Lot 88 & 89, Jalan Besar, 83100 Rengit, Batu Pahat, Johor.","No. 85 & 87, Lot, 88 & 89, Jln Besar, Rengit, 83100 Rengit, Johor, Malaysia",1.6801679,103.1480969,"1.6801679, 103.1480969"
386,FamilyMart Ampang Business Centre,"Lot 12A, PT111, Kompleks Perniagaan Ampang, Sultanah Bahiyah Hwy, Taman Bahagia, 05050 Alor Setar, Kedah.","Lot 12A, PT111, Kompleks Perniagaan Ampang, Lebuhraya Sultanah Bahiyah, Taman Bahagia, 05050 Alor Setar, Kedah, Malaysia",6.1118605,100.3515096,"6.1118605, 100.3515096"
387,FamilyMart Sitiawan,"No. 52 & 53 (Ground Floor), Lorong Bunga Ros 1, Taman Bunga Ros, 32000 Perak.","No. 52 & 53 (Ground Floor, Lorong Bunga Ros 1, Taman Bunga Ros, 32000 Sitiawan, Perak, Malaysia",4.2081325,100.6972179,"4.2081325, 100.6972179"
388,FamilyMart Dataran Selayang,"16-G, Jalan Dataran Selayang 1, Dataran Selayang, 68100 Batu Caves, Selangor.","16-G, 1, Jalan Dataran Selayang, Dataran Selayang, 68100 Batu Caves, Selangor, Malaysia",3.2377235,101.6737924,"3.2377235, 101.6737924"
389,FamilyMart Taman Tasik Indah Kluang,"No 126, Jalan Tasik Indah 1/4, Taman Tasik Indah, 86000 Kluang, Johor","126, Jln Tasik Indah 1/4, Taman Tasik Indah, 86000 Kluang, Johor, Malaysia",1.9943949,103.2954252,"1.9943949, 103.2954252"
390,FamilyMart Caltex Lagenda Heights,"301, Jalan Legenda 1, Lagenda Heights, 08000 Sungai Petani, Kedah.","301, Jalan Legenda 1, Lagenda Heights, 08000 Sungai Petani, Kedah, Malaysia",5.6643687,100.503579,"5.6643687, 100.503579"
394,FamilyMart Jerantut,"No. 4, Tingkat Bawah Lorong SU 1/1, 98, 27000 Jerantut, Pahang","No. 4, Tingkat Bawah, 98, Lorong SU 1/1, Kampung Padang Saujana, 27000 Jerantut, Pahang, Malaysia",3.9279834,102.3812973,"3.9279834, 102.3812973"
396,FamilyMart Lukut,"No. 23 (G), Jalan Hartamas 1, Taman Lukut Hartamas, 71010 Port Dickson, Negeri Sembilan.","No. 23 (G, Jalan Hartamas 1, Taman Lukut Hartamas, 71010 Port Dickson, Negeri Sembilan, Malaysia",2.5680894,101.8287771,"2.5680894, 101.8287771"
397,FamilyMart Paroi,"406, Persiaran Rajawali, Taman Paroi Jaya, 70400 Seremban, N9","406, Persiaran Rajawali, Taman Paroi Jaya, 70400 Seremban, Negeri Sembilan, Malaysia",2.7306832,101.9853653,"2.7306832, 101.9853653"
