Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
388,FamilyMart Dataran Selayang,"16-G, Jalan Dataran Selayang 1, Dataran Selayang, 68100 Batu Caves, Selangor.","16-G, 1, Jalan Dataran Selayang, Dataran Selayang, 68100 Batu Caves, Selangor, Malaysia",3.2377235,101.6737924,"3.2377235, 101.6737924"
389,FamilyMart Taman Tasik Indah Kluang,"No 126, Jalan Tasik Indah 1/4, Taman Tasik Indah, 86000 Kluang, Johor","126, Jln Tasik Indah 1/4, Taman Tasik Indah, 86000 Kluang, Johor, Malaysia",1.9943949,103.2954252,"1.9943949, 103.2954252"
390,FamilyMart Caltex Lagenda Heights,"301, Jalan Legenda 1, Lagenda Heights, 08000 Sungai Petani, Kedah.","301, Jalan Legenda 1, Lagenda Heights, 08000 Sungai Petani, Kedah, Malaysia",5.6643687,100.503579,"5.6643687, 100.503579"
394,FamilyMart Jerantut,"No. 4, Tingkat Bawah Lorong SU 1/1, 98, 27000 Jerantut, Pahang","No. 4, Tingkat Bawah, 98, Lorong SU 1/1, Kampung Padang Saujana, 27000 Jerantut, Pahang, Malaysia",3.9279834,102.3812973,"3.9279834, 102.3812973"
396,FamilyMart Lukut,"No. 23 (G), Jalan Hartamas 1, Taman Lukut Hartamas, 71010 Port Dickson, Negeri Sembilan.","No. 23 (G, Jalan Hartamas 1, Taman Lukut Hartamas, 71010 Port Dickson, Negeri Sembilan, Malaysia",2.5680894,101.8287771,"2.5680894, 101.8287771"
397,FamilyMart Paroi,"406, Persiaran Rajawali, Taman Paroi Jaya, 70400 Seremban, N9","406, Persiaran Rajawali, Taman Paroi Jaya, 70400 Seremban, Negeri Sembilan, Malaysia",2.7306832,101.9853653,"2.7306832, 101.9853653"
398,FamilyMart S2-3-L11 Departure Level Public Concourse (Landside) KLIA2 64000 Sepang Selangor,"S2-3-L11, Departure Level, Public Concourse (Landside), KLIA2, 64000 Sepang, Selangor","KLIA2, 43900, Selangor, Malaysia",2.744636,101.68588,"2.744636, 101.68588"
401,FamilyMart Caltex AMJ Paya Rumput,"No. 17, Jalan Inang 4, Taman Paya Rumput Utama, Taman Seri Paya Rumput, 76450 Malacca.","5062, Lebuh AMJ, Taman Seri Paya Rumput, 76450 Melaka, Malaysia",2.3006364,102.2160995,"2.3006364, 102.2160995"
402,FamilyMart Caltex Mayang Permai,"A portion of Stesen Minyak Mayang Pasir Permai, No. 23, Jalan Tengah, Bayan Baru, Mukim 12, 11950 Bayan Lepas, Pulau Pinang.","23, Jalan Tengah, Bayan Baru, 11950 Bayan Lepas, Pulau Pinang, Malaysia",5.3197696,100.2844424,"5.3197696, 100.2844424"
403,FamilyMart Caltex Krubong,"A portion of Lot PT 12724 Mukim Krubong, Melaka Tengah,75260 Melaka.","A portion of Lot, PT 12724, Mukim, 75260 Krubong, Melaka, Malaysia",2.2972546,102.2483136,"2.2972546, 102.2483136"
